Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2016","2016","t","107955.04","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2016","2016","1000 USD","402454","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2017","2017","t","95287.4","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2017","2017","1000 USD","406640","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2018","2018","t","213819.33","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2018","2018","1000 USD","784225","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2019","2019","t","163422.84","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2019","2019","1000 USD","466473","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2020","2020","t","372778.44","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2020","2020","1000 USD","814764","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2021","2021","t","183544.52","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2021","2021","1000 USD","600311","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2022","2022","t","208291.86","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2022","2022","1000 USD","801085","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2023","2023","t","155521.1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2023","2023","1000 USD","841049","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2000","2000","t","0","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2000","2000","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2001","2001","t","0","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2001","2001","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2002","2002","t","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2002","2002","1000 USD","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2003","2003","t","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2003","2003","1000 USD","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2004","2004","t","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2004","2004","1000 USD","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2005","2005","t","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2005","2005","1000 USD","0","E","Estimated value",""
